MUNICIPIO_CAP,TIPO_ESCOLA,SEXO,IDADE,ETNIA,ANO_ESCOLAR,MORA_MAE,MORA_PAI,JA_FUMOU,JA_NARGUILE,JA_CIGARRO_ELETRONICO,JA_USOU_TABACO,RESPONSAVEL_FUMA,FUMA_PROXIMO_ALUNO,AMIGO_FUMA,IDH_EDUCACAO
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Branca,8º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Parda,7º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Amarela,7º ano,sim,não,2.0,sim,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Branca,8º ano,sim,sim,2.0,não,não,não,Só meu pai ou responsável do sexo masculino,3 ou 4 dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Branca,7º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Parda,8º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Branca,8º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Branca,8º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Parda,8º ano,sim,não,1.0,não,não,sim,Os dois (ambos),Todos os dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Branca,8º ano,sim,não,2.0,não,não,não,Não sei,1 ou 2 dias,não,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Branca,7º ano,sim,não,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Indigena,8º ano,sim,sim,2.0,não,sim,não,Nenhum deles,Nenhum dia nos últimos 7 dias,sim,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Branca,7º ano,sim,sim,1.0,não,sim,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Branca,8º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Branca,8º ano,sim,sim,2.0,não,sim,não,Nenhum deles,Nenhum dia nos últimos 7 dias,sim,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Branca,8º ano,sim,sim,2.0,sim,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Branca,8º ano,sim,não,2.0,não,não,não,Só meu pai ou responsável do sexo masculino,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Branca,7º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Parda,7º ano,sim,sim,2.0,não,não,não,Não sei,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Preta,7º ano,sim,não,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Branca,8º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Parda,7º ano,sim,sim,2.0,não,sim,não,Nenhum deles,Nenhum dia nos últimos 7 dias,sim,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Parda,7º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Parda,8º ano,sim,não,2.0,sim,sim,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Branca,7º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Branca,8º ano,sim,não,1.0,sim,sim,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Parda,7º ano,sim,não,2.0,não,sim,não,Nenhum deles,Nenhum dia nos últimos 7 dias,sim,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Branca,8º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Branca,7º ano,sim,não,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Indigena,8º ano,sim,sim,1.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Branca,8º ano,não,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Branca,8º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Branca,8º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Branca,7º ano,sim,não,1.0,sim,sim,não,Os dois (ambos),Todos os dias,sim,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Branca,8º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Branca,8º ano,sim,sim,2.0,não,não,não,Os dois (ambos),Todos os dias,sim,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Parda,8º ano,sim,sim,1.0,sim,sim,não,Só minha mãe ou responsável do sexo feminino,5 ou 6 dias,sim,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Branca,8º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Branca,8º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Parda,8º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Branca,7º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Parda,8º ano,sim,não,1.0,não,não,não,Não sei,Nenhum dia nos últimos 7 dias,sim,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Branca,8º ano,sim,não,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Preta,7º ano,sim,sim,2.0,sim,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Branca,7º ano,sim,sim,2.0,não,não,não,Só minha mãe ou responsável do sexo feminino,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Branca,8º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Branca,7º ano,sim,sim,2.0,não,não,não,Nenhum deles,5 ou 6 dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Branca,8º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Branca,8º ano,sim,sim,2.0,não,não,não,Nenhum deles,1 ou 2 dias,sim,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Branca,8º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Branca,8º ano,sim,não,1.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,sim,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Branca,8º ano,não,não,2.0,não,sim,não,Só minha mãe ou responsável do sexo feminino,1 ou 2 dias,não,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Amarela,7º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Parda,8º ano,sim,não,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Parda,7º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Branca,8º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Branca,8º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Branca,7º ano,sim,sim,2.0,sim,não,sim,Nenhum deles,1 ou 2 dias,não,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Branca,8º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Parda,8º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Branca,8º ano,sim,não,2.0,não,não,não,Só meu pai ou responsável do sexo masculino,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Branca,7º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Parda,8º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Branca,8º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Parda,8º ano,sim,não,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Branca,8º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Branca,8º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Branca,8º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Amarela,8º ano,não,não,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Parda,7º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Amarela,8º ano,sim,não,2.0,não,não,não,Os dois (ambos),Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Parda,7º ano,sim,sim,2.0,não,não,não,Nenhum deles,1 ou 2 dias,não,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Branca,7º ano,sim,sim,2.0,não,não,não,Nenhum deles,1 ou 2 dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Parda,8º ano,sim,não,1.0,sim,não,sim,Nenhum deles,Nenhum dia nos últimos 7 dias,sim,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Branca,8º ano,sim,não,2.0,não,não,não,Só minha mãe ou responsável do sexo feminino,Todos os dias,não,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Parda,7º ano,sim,sim,1.0,sim,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,sim,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Branca,8º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Branca,8º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Branca,8º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Parda,8º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Branca,8º ano,sim,sim,2.0,não,sim,não,Nenhum deles,Todos os dias,não,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Branca,8º ano,sim,não,2.0,não,sim,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Branca,8º ano,sim,sim,1.0,não,sim,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Parda,8º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Branca,8º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,sim,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Branca,8º ano,não,sim,1.0,não,sim,sim,Só minha mãe ou responsável do sexo feminino,1 ou 2 dias,sim,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Branca,8º ano,sim,sim,2.0,não,não,não,Nenhum deles,1 ou 2 dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Parda,8º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Branca,7º ano,sim,não,2.0,não,não,não,Só meu pai ou responsável do sexo masculino,Todos os dias,sim,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Branca,7º ano,sim,não,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Branca,8º ano,sim,não,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Parda,8º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Parda,8º ano,sim,sim,2.0,não,não,não,Só meu pai ou responsável do sexo masculino,3 ou 4 dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Branca,8º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Branca,8º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Branca,8º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Branca,8º ano,sim,não,2.0,sim,sim,não,Os dois (ambos),1 ou 2 dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Branca,8º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Branca,8º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Branca,7º ano,sim,sim,2.0,sim,sim,não,Os dois (ambos),3 ou 4 dias,sim,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Branca,8º ano,sim,não,2.0,sim,não,não,Só meu pai ou responsável do sexo masculino,5 ou 6 dias,sim,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Branca,7º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Branca,8º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Parda,8º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Branca,8º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Branca,8º ano,sim,não,1.0,não,não,sim,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Parda,8º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Branca,8º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,sim,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Branca,8º ano,não,sim,2.0,não,sim,não,Nenhum deles,1 ou 2 dias,não,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Branca,8º ano,sim,não,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Parda,8º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Branca,8º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Branca,8º ano,sim,sim,2.0,não,não,não,Só meu pai ou responsável do sexo masculino,5 ou 6 dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Parda,8º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Branca,8º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Branca,8º ano,sim,sim,2.0,sim,sim,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Branca,7º ano,sim,sim,2.0,não,sim,não,Os dois (ambos),Todos os dias,sim,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Parda,8º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Branca,8º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Indigena,8º ano,sim,não,1.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Parda,8º ano,sim,não,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,sim,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Parda,8º ano,sim,não,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Preta,8º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Branca,8º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Branca,7º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Branca,8º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Branca,8º ano,sim,sim,2.0,não,não,não,Só minha mãe ou responsável do sexo feminino,1 ou 2 dias,não,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Parda,8º ano,sim,não,2.0,não,não,não,Só minha mãe ou responsável do sexo feminino,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Branca,8º ano,sim,sim,2.0,não,não,não,Só meu pai ou responsável do sexo masculino,5 ou 6 dias,não,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Parda,7º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Branca,8º ano,sim,não,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Parda,7º ano,sim,sim,2.0,não,não,não,Nenhum deles,1 ou 2 dias,sim,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Parda,8º ano,sim,não,2.0,não,não,não,Só minha mãe ou responsável do sexo feminino,Todos os dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Parda,8º ano,sim,não,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Branca,8º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Branca,8º ano,sim,não,2.0,não,não,não,Só meu pai ou responsável do sexo masculino,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Branca,8º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Branca,8º ano,sim,não,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Branca,8º ano,sim,não,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Branca,7º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,sim,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Parda,7º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Branca,8º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Preta,7º ano,sim,sim,2.0,não,não,não,Nenhum deles,Todos os dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Branca,8º ano,sim,não,2.0,não,não,não,Só meu pai ou responsável do sexo masculino,1 ou 2 dias,não,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Branca,7º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Branca,8º ano,sim,não,1.0,sim,sim,não,Só meu pai ou responsável do sexo masculino,5 ou 6 dias,sim,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Branca,8º ano,sim,não,2.0,não,não,não,Só minha mãe ou responsável do sexo feminino,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Branca,8º ano,sim,não,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Branca,7º ano,sim,não,2.0,não,não,não,Só meu pai ou responsável do sexo masculino,Nenhum dia nos últimos 7 dias,sim,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Parda,7º ano,sim,não,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Mulher,13 a 15 anos,Branca,7º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
BELO HORIZONTE,Privada,Homem,13 a 15 anos,Branca,8º ano,sim,sim,2.0,não,não,não,Nenhum deles,Nenhum dia nos últimos 7 dias,não,737
